;Saithe;Trawling_LargeMesh;GES;Economic_Benefits;Biodiversity;Corals;Protection_conservation;Fisheries_Industrial;Norw_pout;Shrimp;Trawling_Shrimp;Herring;Mackerel;Shipping;Windpower;Oil_gas;Fisheries_regulations;Economic_National;Temperature;Nutrients;C_finmarchicus;C_helgolandicus;Phytoplankton;Hake;Fisheries_Pelagic;Marine_Mammals;Seabirds;Pollution_LandBased
Saithe;;0.51;0.26;;;;;0.25;-0.5;;;;;;;;;;;;;;;0.51;;0.25;;
Trawling_LargeMesh;-0.51;;;0.51;;-0.25;;;;;;;;;;;;;;;;;;-0.5;;;0.25;
GES;;;;0.49;;;;;;;;;;;;;0.5;;;;;;;;;;;
Economic_Benefits;;;;;;;;;;;;;;;;;0.5;;;;;;;;;;;
Biodiversity;;;0.5;;;;0.5;;;;;;;;;;;;;;;;;;;;;
Corals;;;;0.25;;0;;;;;;;;;;;;;;;;;;;;;;
Protection_conservation;;-0.26;;;;0.5;;-0.26;;;-0.25;;;-0.26;-0.5;-0.5;;;;;;;;;-0.24;;;
Fisheries_Industrial;-0.26;;;0.5;;-0.25;;;-0.5;;;;;;;;;;;;;;;-0.26;;;0.25;
Norw_pout;0.5;;0.26;;;;;0.5;;;;;;;;;;;;;-0.5;-0.25;;0.5;;0.25;0.5;
Shrimp;;;0.25;;;;;;;;0.5;;;;;;;;;;-0.49;-0.25;;;;;;
Trawling_Shrimp;;;;0.49;;-0.26;;;;-0.5;;;;;;;;;;;;;;;;;;
Herring;;;0.26;;;;;;;;;;;;;;;;;;-0.51;-0.25;;0.51;0.51;0.24;-0.51;
Mackerel;;;0.25;;;;;;;;;;;;;;;;;;-0.5;-0.26;;0.5;0.49;0.25;0.51;
Shipping;-0.25;;;;;;;;-0.25;-0.25;;-0.25;-0.25;;;;;0.5;;;;;;-0.26;;-0.25;;
Windpower;0.25;-0.5;;;;-0.25;;-0.5;0.25;0.25;-0.25;;;-0.26;;0.26;;0.51;;;;;-0.26;0.26;-0.5;0.26;-0.51;
Oil_gas;-0.28;-0.53;;;;-0.51;;-0.5;-0.25;-0.25;-0.51;-0.24;-0.24;;0.26;;;0.49;;;;;;;;-0.25;-0.26;
Fisheries_regulations;;-0.5;;;;;;-0.51;;;-0.5;;;;;;;;;;;;;;-0.51;;;
Economic_National;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Temperature;;;-0.5;;;-0.5;;;;;;;0.5;;;;;;;;-0.5;0.5;0.5;0.5;;;;
Nutrients;;;;;;0.25;;;;;;;;;;;;;;;;;0.5;;;;;
C_finmarchicus;;;;;;;;;0.5;0.49;;0.51;0.5;;;;;;;;;;;;;;;
C_helgolandicus;;;;;;;;;0.25;0.25;;0.25;0.24;;;;;;;;0.5;;;;;;;
Phytoplankton;;;;;;;;;;;;;;;;;;;;;0.51;0.51;;;;;;
Hake;-0.5;0.51;;;;;;0.26;-0.5;;;-0.51;-0.5;;;;;;;;;;;;;0.26;;
Fisheries_Pelagic;;;;0.5;;;;;;;;-0.51;-0.51;;;;;;;;;;;;;;;
Marine_Mammals;-0.25;;0.26;;;;;;-0.25;;;-0.24;-0.26;;;;;;;;;;;-0.26;;;;
Seabirds;;;0.5;;;;;;-0.5;;;0.51;-0.5;;;;;;;;;;;;;;;
Pollution_LandBased;;;;;;;;;;;;;;;;;;;;;;;;;;-0.51;-0.5;