;Baleen whales;Toothed whales;Seals;Surface-feeding seabirds;Juvenile sharks;Spurdog;Large piscivorous sharks;Small sharks;Juvenile rays;Starry ray + others;Thornback & Spotted ray;Skate + cuckoo ray;Cod (juvenile 0-2);Cod (adult);Whiting (juvenile 0-1);Whiting (adult);Haddock (juvenile 0-1);Haddock (adult);Saithe (juvenile 0-3);Saithe (adult);Hake;Blue whiting;Norway pout;Other gadoids (large);Other gadoids (small);Monkfish;Gurnards;Herring (juvenile 0-1);Herring (adult);Sprat;Mackerel;Horse mackerel;Sandeels;Plaice;Dab;Long-rough dab;Flounder;Sole;Lemon sole;Witch;Turbot;Megrim;Halibut;Dragonets;Catfish (Wolf-fish);Large demersal fish;Small demersal fish;Miscellaneous filterfeeding pelagic fish;Squid & cuttlefish;Fish larvae;Carnivorous zooplankton;Herbivorous & Omnivorous zooplankton (copepods);Gelatinous zooplankton;Large crabs;Nephrops;Epifaunal macrobenthos (mobile grazers);Infaunal macrobenthos;Shrimp;Small mobile epifauna (swarming crustaceans);Small infauna (polychaetes);Sessile epifauna;Meiofauna;Benthic microflora (incl Bacteria protozoa));Planktonic microflora (incl Bacteria protozoa);Diving seabirds;Phytoplankton;Detritus - DOM -water column;Detritus - POM - sediment;Discards;Demersal trawl + dem seine;Beam trawl;Industrial trawl;Pelagic trawl;Drift and fixed nets;Nephrops trawl;Gears using hooks;Shrimp trawlers;Dredges;Pots;Other
Baleen whales;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0402;0,0938;0;0;0;0;0;0;0;0;0;0;0;0
Toothed whales;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0180846;0,0421974;0;0;0;0;0;0;0;0;0;0;0;0
Seals;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,01310016;0,03056704;0;0;0;0;0;0;0;0;0;0;0;0
Surface-feeding seabirds;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,009415801;0,0219702;0;0;0;0;0;0;0;0;0;0;0;0
Juvenile sharks;0;0;0;0;0;0;9,71E-05;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,000270858;0,000632002;0;0;0;0;0;0;0;0,00E+00;0;0;0;0
Spurdog;0;0;0;0;0;0,005472693;1,62E-05;0;0;0;0;0;0;4,55E-05;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,03002775;0,07006476;0;0,002854333;0,000108376;0,000144318;4,09E-05;0,001200038;0,001689809;4,10E-06;0;0;6,76E-05;0,002663633
Large piscivorous sharks;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,000146283;0,000341327;0;1,62E-05;1,24E-07;2,47E-07;2,34E-05;5,86E-05;0,000145782;2,65E-05;0;0;3,63E-07;1,29E-06
Small sharks;0;0;0;0;0;0;8,10E-05;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,000558073;0,001302171;0;6,97E-08;0;4,64E-06;2,20E-06;3,36E-05;3,30E-05;1,34E-07;0;0;9,55E-07;0,000188234
Juvenile rays;0;0;0;0;0;0;9,71E-05;0;0;0,000132587;0;0;0;4,55E-05;0;0;0;0;0;0;0;0;0;0;0;0,000542586;0,000172811;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,08010282;0,1869066;0;0;0;0;0;0;0;0,00E+00;0;0;0;0
Starry ray + others;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,1131494;0,2640152;0;0,006347384;0,003147336;6,32E-05;0;7,24E-05;0,003202602;0;1,88E-07;8,16E-08;9,43E-08;2,06E-06
Thornback & Spotted ray;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,02119976;0,0494661;0;0,005538217;0,002606872;5,49E-05;0;6,01E-05;0,002912043;0;1,55E-07;6,71E-08;7,76E-08;1,70E-06
Skate + cuckoo ray;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,008623241;0,0201209;0;0,003134881;0,000175518;0,000505414;9,67E-05;6,81E-06;0,002831794;6,80E-08;5,46E-10;7,02E-09;1,24E-08;4,67E-06
Cod (juvenile 0-2);0;0,00746154;0,006786278;0,00082505;0;0;0;0;0,0009112;0,00663;0;0;8,01E-05;0,00455;0,001762872;0,01080096;0;2,82E-05;0;0;0;0;0;0,004436562;0;0,000821018;0,00576;0;0;0;0,000129749;0,01470147;0;0;0;0;0;0;0;0;0,003265593;0;0,001088014;0;0;0;0;0;0,009629037;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,000799964;0;0,04838465;0,1128975;0;0,08;0,0037;0,000667273;1,88E-05;0,002722723;0,0108009;0;0;0;0;0,000189342
Cod (adult);0;0;0,01365846;0;0;0;0;0;0;0;0;0;0;0,003641456;0;0;0;0;0;0;0;0;0;0;0;0,000821018;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,03100295;0,07234022;0;0,1089249;0,00669763;0,000625339;6,19E-05;0,003339042;0,003626686;0,000235313;4,46E-05;2,31E-06;2,15E-05;0,000656721
Whiting (juvenile 0-1);0,001350416;0,006202967;0,000923449;0,002030891;1,00E-06;0,000643042;0;5,92E-07;0;0,001856214;0,000242904;0,000129692;0,001605429;0,001911764;0,000278348;0,0070434;0;0;0,000592221;0,00026825;8,01E-05;0;0;0,000747553;0,000344909;0,00069965;0,004608305;0;0;0;1,09E-05;0,007350735;0;0;0;0,000559944;0;0;0;0;0,000640646;0;0,005279884;0;0;0;0;0;0,000809919;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,006260588;0;0,02899678;0,06765915;0;0,003735178;0,000731319;0,000227811;6,12E-05;2,17E-05;0,001794036;8,84E-08;1,14E-05;4,46E-08;1,72E-07;2,76E-10
Whiting (adult);0;0,01908836;0,01479666;0;4,80E-05;0,03089335;0;3,49E-05;0;0,002983202;0;0;0;0,03185;0;0,003991659;0;0;0;0,01578886;0;0;0;0;0;0,008360104;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,141886;0,3310672;0;0,1185342;0,01261157;0,003401454;0,002173524;3,63E-04;0,04420234;3,14E-06;1,75E-04;1,59E-06;6,12E-06;0,07
Haddock (juvenile 0-1);0;0,000419524;6,44E-05;0,000888515;0;6,62E-05;0;0;0;0,00039776;1,52E-05;2,41E-05;0,000882986;0,000409664;0,000185565;0,001643624;0;0,000141009;9,87E-05;0,000526832;0;0;0;3,25E-05;0;0,0001999;0,000172811;0;0;0;0;0,002362736;0;0;0;0;0;0;0;0;0;0;0,001036204;0;0;0;0;0;0,000359964;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,000243467;0;0,003947211;0,009210159;0;0,003429337;7,04E-06;1,97E-05;1,03E-06;7,18E-07;4,63E-04;2,99E-07;5,14E-08;2,98E-08;3,19E-08;3,25E-07
Haddock (adult);0;0,001108743;0,002534116;0;0;0,001587081;0;0;0;0;0;0;0;0,009604341;0;0;0;0;0;0,001611108;0;0;0;0;0;0,004704789;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,02304253;0,05376589;0;0,0910676;0,000219857;0,000236939;3,75E-05;2,78E-05;0,003616102;1,44E-05;2,48E-06;1,44E-06;1,54E-06;1,57E-05
Saithe (juvenile 0-3);0;0,01666111;0,000708694;0;0;0;0;0;0;0;0;0;0;0;0;0,000469607;0;0;0;0;0;0;0;0;0;0,000264154;5,76E-05;0;0;0;0;0,002887789;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,009629037;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,06256326;0,145981;0;0,07236648;2,78E-06;0,000334323;0,000107123;2,87E-05;0,001157005;1,16E-05;1,20E-06;4,27E-08;6,49E-08;0,000153725
Saithe (adult);0;0,003775719;0,006721851;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00440406;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,06112941;0,1426353;0;0,1147966;5,64E-06;0,0007395;0,000270139;6,55E-05;0,001037153;2,83E-05;3,03E-06;1,08E-07;1,64E-07;0,000387659
Hake;0;0,001678097;0;0;0;0;0;0;0;0;0;8,44E-05;0;0;0;0;0;0;0;0;0,000227897;0;0;0;0;0,000542586;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,002945634;0,006873145;0;0,004980909;2,43E-05;1,14E-05;3,79E-05;7,78E-05;7,05E-05;7,93E-05;1,27E-10;0;3,31E-08;6,00E-06
Blue whiting;0;0,000749151;0;0;8,75E-06;0,005582147;0;0,000438124;0;0;0;0,000158161;0;0,009331232;0;0,009391201;0;0;0;0,02738884;0,01003056;0;0;0,006695471;0;0;5,76E-05;0;0;0;0,000648745;0,04410441;0;0;0;0;0;0;0;0;0;0,00570157;0;0;0;0,00053122;0;0;0,009539045;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,2399861;0,5599675;0;7,58E-06;1,18E-06;0,002665578;0,05874395;2,18E-05;1,01E-05;0;0;0;0;0
Norway pout;0,003528725;0,06706396;0;0,002030891;0,000182768;0,02572166;0,000162112;0,000124925;0,00482936;0,07332047;0,000212541;0,004924088;0,08828989;0,0335014;0,06364894;0,5278336;0,000604008;0,02560719;0,2357038;0,2592272;0,003344546;0,1958772;0;0,01797377;0,000460264;0,009430996;0,08115841;0;0;0;0,0121964;0,5867462;0;0;0;0,007559244;0,03520352;0;0;0;0,006474493;0,02525132;0,02107747;0;0;0;0,1061428;0;0,009539045;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6,96E-05;0;0,4008661;0,9353542;0;0;0;0,2699929;0,003854139;4,21E-07;9,62E-06;0;0;0;0;0,06
Other gadoids (large);0;0,004345074;0,01496847;0,000349059;0;0;0;0;0;0;0;0;0;0;0;0;0;0,001099868;0;0;0;0;0;0,0042578;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,000417373;0;0,01072576;0,02502676;0;0,03461608;0,000217164;0,000127188;4,09E-05;0,000520878;0,000566029;0,000225534;2,60E-09;6,47E-08;2,86E-06;0
Other gadoids (small);0;0,01417393;0,005970207;0;6,50E-06;0,03425906;1,57E-05;6,10E-05;0,006834;0,03109159;0,004964356;0,006010129;0,02970044;0,01028711;0,006077269;0,04860432;7,11E-05;0,001071666;0,02062901;0,02916105;0,001509049;0;0;0,002356416;0,01730249;0;0,04331806;0;0;0;0,01479138;0,08925893;0;0;0;0,03723627;0;0;0;0;0,001927607;0,02394449;0,003134274;0;0;0,001651264;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,000173905;0;0,07076719;0,1651234;0;0,003844701;0;0;0,01182882;0,00E+00;1,80E-05;0,00E+00;0,00E+00;0;0;0,01259993
Monkfish;0;0;0,002233458;0;0;0;0;0;0;0;0;8,44E-05;0;0;0;0;0;0;0;0;0;0;0;0;0;0,000264154;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,005577761;0,01301477;0;0,01989398;0,000691485;9,93E-05;3,40E-07;0,001048654;0,00074131;7,85E-06;0;9,84E-06;1,75E-07;1,26E-05
Gurnards;0;0;0;0;0;0;7,81E-05;2,37E-06;0;0,000265174;0;0,000253058;0,0016857;0,002913165;0;0,00070441;5,86E-06;0;0;0,000241666;9,24E-05;0;0;0;0;0;5,76E-05;0;0;0;0;0,01286379;0;0;0;0;0;0;0;0;0;0,000653415;0;0;0;0;0,0136228;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3,48E-05;0;0,06639242;0,1549157;0;0,001587582;0,005903429;0;0;6,47E-07;0,000522996;0,00E+00;2,99E-06;1,80E-08;0;0
Herring (juvenile 0-1);0,05319659;0,000329626;1,85E-06;0;1,25E-06;0,000459706;1,44E-06;0;0;0,00019888;0,000485809;0,001223114;0,04069763;0,001001401;0,000139174;0,04085172;0;0,000366623;1,68E-05;0,00314166;7,08E-05;0;0;0,004826589;0;0,000706789;5,76E-05;0;0;0;0,001297489;0,01050105;0;0,00039676;0;0;0;0;0;0;7,94E-05;0;0;0;0;0;4,45E-05;0;0,000809919;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,1007206;0,2350148;0;0,000466441;0;2,45E-03;0,01843836;7,12E-09;0,000128908;0,00E+00;8,08E-05;0;0;0
Herring (adult);0,06632991;0,000988879;0,001310009;0,007361982;0,000156516;0,04870697;0,000162913;3,20E-05;0;0,005568643;0;0;0,0016857;0,0279937;0;0;0;0;0;0,1530553;0;0;0;0,02536804;0;0,008495751;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,02052081;0;0,9729723;2,270268;0;0,000146534;1,01E-06;0,05277631;0,8036423;0,000197456;0,001155593;3,10E-07;1,22E-05;0;1,31E-06;0,001329465
Sprat;0,006853869;0,03128453;0,000601316;0,006759059;5,78E-05;0,01061703;0;8,17E-05;4,56E-05;0,000132587;0,002914852;0;0,02456306;0,00660014;0,006726747;0,493038;0;0,000282018;0,1139037;0,04567491;0,003344546;0,02125476;0;0;0,004487284;0,000264154;0,008986193;0;0;0;0,07836834;0,0160141;0;0;0;0;0;0;0;0;0,0097004;0,03559002;0,01053873;0;0;3,20E-05;0,001753429;0;0,009629037;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,01892089;0;0,243636;0,568484;0;1,27E-07;0;0,15;0,000372729;4,17E-06;1,39E-06;6,33E-08;0,00E+00;1,56E-06;1,50E-07;2,30E-05
Mackerel;0,06365278;0,005873341;0;0,000920248;3,43E-05;0,02128878;0,000246769;2,78E-05;0;0;0;0;0;0,006144958;0;0;0;0;0;0,003061105;0,005334027;0;0;0;0;0,004854714;0,00046083;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00699099;0;0,1115455;0,2602729;0;0,001651459;3,08E-05;0,009186609;0,2004149;2,13E-04;0,006300042;0,000804855;9,57E-07;7,23E-06;2,66E-05;0,00015471
Horse mackerel;0;0,003685821;0,00266297;0;0;0,005034878;0;0;0;0;0;0;0,000642974;0,001411064;0,000742262;0,02606319;0;0;0;0;0,005826778;0;0;0;0;0;0,00074885;0;0;0;0,008174181;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,000390415;0;0;0,009629037;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,2418913;0,564413;0;0,01134835;9,53E-05;2,84E-05;0,07546465;3,90E-06;0,001686922;1,81E-08;5,57E-05;0;1,14E-08;1,58E-08
Sandeels;0,3316496;0,08183721;0,06470587;0,03185961;3,60E-05;0,01004239;0;6,57E-05;0,1803721;0,2652;0,005510891;0,03511181;0,09631624;0,02439776;0,1433029;0,58695;0,007609321;0,08333617;0,009376824;0,01619163;0;0;0;0,06211187;0,001151236;0,01213679;0,2304;0;0;0;0,3443536;0,1110486;0;0,01487849;0;0,03261674;0;0;0;0;0,01029569;0,001939166;0,04217597;0;0;3,84E-06;0,3371754;0;0,03842616;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,1156817;0;0,5933665;1,384522;0;9,48E-05;0;0,75;0,1;1,99E-09;2,10E-05;1,14E-05;2,04E-04;8,41E-06;5,51E-09;0,0003051
Plaice;0;0;0,01320747;0,000412525;0;0,01234092;9,86E-05;1,18E-05;0;0;0,0013967;0;1,69E-05;0,008739496;0;0;0;1,07E-05;0;0;0;0;0;0;0;0,000264154;1,96E-05;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,004859514;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,000104343;0;0,140161;0,3270423;0;0,1300104;0,216535;0,000166262;8,70E-05;0,003368172;0,02535613;1,34E-06;5,50E-03;6,19E-06;6,77E-06;0
Dab;0;0;0,01060893;0;1,68E-05;0,001778625;9,86E-05;3,49E-05;0,00132124;0,01836326;0;0,000263602;0,005129346;0,09554999;0,000139174;0,070434;0;5,64E-05;0;0,000483332;0;0;0;0;0,00575618;0,002156065;0,005414757;0;0;0;0;0;0;0;0;0,0530547;0,04848485;0;0;0;0,003911909;0;0;0;0;1,28E-05;0,05004017;0;0,004859514;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3,48E-05;0;1,075787;2,510168;0;0,02363309;0,09154402;2,34E-05;0,000218177;3,64E-04;0,02053014;4,10E-08;1,28E-03;5,07E-07;1,10E-06;0,02005072
Long-rough dab;0;1,98E-05;0,002276409;0;0;0;0;1,24E-05;0,00054672;0,01292721;0;0,000168705;0,01822162;0,0254902;0,001994828;0,01573183;0,00121986;0,000930658;0;0,000322222;0;0;0;0,002746443;0;0,003226958;0,009562232;0;0;0;0;0;0;0;0;0;0,03520352;0;0;0;0;0;0;0;0;0;0;0;0,004859514;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,1165574;0,2719672;0;0,000309864;3,29E-09;9,67E-05;3,83E-06;2,82E-08;0,000603821;7,57E-11;0,00E+00;2,13E-09;2,87E-10;1,65E-08
